bin_level,source,count,mean,std,min,q25,median,q75,max
low,Real-Exp,54333,2.896104205219223,1.5939339554491376,0.0,1.539692324,2.912581694,4.272716718,5.630115772
low,Real-Oracle,54333,4.323715963227604,0.9150125283561893,2.216141979726517,3.6233824823050913,4.033021891284515,4.78500524147161,13.271293559547363
low,Generated-Oracle,1000,4.47505937860728,1.669731857862391,2.786545047964366,3.5114826733512703,3.786895837540465,4.683527328018622,13.853298811112964
mid,Real-Exp,54321,8.34694720998647,1.568236628430984,5.63027055,6.988508958,8.34651556,9.705014606,11.06338771
mid,Real-Oracle,54321,7.984930554376569,2.2628077623558775,2.6669457616261703,6.39458787386999,8.071355219353563,9.664380245210278,15.304403866151205
mid,Generated-Oracle,1000,7.961342441067207,2.784588195290129,3.402742495129207,5.565167497940389,7.75870492730699,10.16040861096919,15.002425461885121
high,Real-Exp,54328,13.841620696681085,1.6472867509700437,11.06344433,12.42336423,13.789185255,15.22938173,17.0
high,Real-Oracle,54328,12.932882203364514,1.6216998661447983,3.297137079870504,12.189967071740815,13.230396487749992,14.00112487692575,16.47382875071526
high,Generated-Oracle,1000,12.51393935583383,1.9009377011628763,3.8222803714270794,11.995309849203196,13.00833410804165,13.703194989174573,15.666374282755129
