condition,kmer,pcc
low,3-mer,0.9624254738317568
low,4-mer,0.9473658877207244
low,5-mer,0.9174704950129283
mid,3-mer,0.983792696411751
mid,4-mer,0.9678911788636485
mid,5-mer,0.9257144294013491
high,3-mer,0.9674124145214615
high,4-mer,0.957517529325836
high,5-mer,0.9352858324708827
