condition,kmer,pcc
low,3-mer,0.9422832766044359
low,4-mer,0.938758187815801
low,5-mer,0.9224767787113758
mid,3-mer,0.9955565009223626
mid,4-mer,0.9933890056878873
mid,5-mer,0.9894352763504328
high,3-mer,0.9940347868517422
high,4-mer,0.9916599516146728
high,5-mer,0.9878037897537485
