bin_level,source,count,mean,std,min,median,max
low,Real,4312,0.4597290155731714,0.11626257137021798,0.1696969696969697,0.45454545454545453,0.7757575757575758
low,Generated,1000,0.4651030303030303,0.11889146168180545,0.15151515151515152,0.46060606060606063,0.7878787878787878
mid,Real,4423,0.3503011119560973,0.09849936033769226,0.11515151515151516,0.3393939393939394,0.7696969696969697
mid,Generated,1000,0.3396727272727273,0.10155497485130546,0.08484848484848485,0.32727272727272727,0.7272727272727273
high,Real,4237,0.31306170031683367,0.08592731215191964,0.12121212121212122,0.30303030303030304,0.6909090909090909
high,Generated,1000,0.30165454545454545,0.09048799267739284,0.08484848484848485,0.2909090909090909,0.6303030303030303
