bin_level,source,count,mean,std,min,median,max
low,Real,4312,0.4597290155731714,0.11626257137021798,0.1696969696969697,0.45454545454545453,0.7757575757575758
low,Generated,1000,0.5033090909090909,0.08903434603104231,0.26666666666666666,0.503030303030303,0.7636363636363637
mid,Real,4423,0.3503011119560973,0.09849936033769226,0.11515151515151516,0.3393939393939394,0.7696969696969697
mid,Generated,1000,0.3662121212121212,0.08085501753611941,0.15151515151515152,0.3575757575757576,0.6424242424242425
high,Real,4237,0.31306170031683367,0.08592731215191964,0.12121212121212122,0.30303030303030304,0.6909090909090909
high,Generated,1000,0.3078242424242424,0.06745135557928648,0.13333333333333333,0.296969696969697,0.5575757575757576
