bin_level,source,count,mean,std,min,q25,median,q75,max
low,Real,990,-3.4377212749969694,1.1863285419562177,-5.994312925,-4.324461498,-3.284154334,-2.449992369,-1.578316469
low,Pred(Real),990,-3.1237454612899307,1.2196764784496272,-5.9001264572143555,-3.9842511415481567,-3.112446427345276,-2.222026526927948,1.8754483461380005
low,Pred(Generated),1000,-2.947231439789757,1.2209565295371723,-5.238290786743164,-3.8014538884162903,-3.169150471687317,-2.368522524833679,3.652674436569214
mid,Real,1025,0.053585777419512204,0.9681619011549419,-1.56546959,-0.76773267,0.059021276,0.871935723,1.719932629
mid,Pred(Real),1025,0.06966996285979205,1.2264434565757747,-4.192272186279297,-0.8192797303199768,-0.03228810057044029,0.9926323294639587,4.924827575683594
mid,Pred(Generated),1000,-0.9067189897112549,1.7132276427934334,-5.609354496002197,-2.1512171626091003,-1.1767087578773499,0.246869545429945,5.7407450675964355
high,Real,985,3.541968582394923,1.2015184666517504,1.732210959,2.567929536,3.391309882,4.382897642,7.942325051
high,Pred(Real),985,3.6286646354622043,1.3122121675272815,-2.7639522552490234,2.662585735321045,3.5678701400756836,4.555710315704346,7.220160961151123
high,Pred(Generated),1000,1.82697052918002,1.8702096176877654,-4.476658821105957,0.6899358332157135,2.0024627447128296,3.2112227082252502,6.186779022216797
