condition,kmer,pcc
low,3-mer,0.7335276713430258
low,4-mer,0.7566220489809361
low,5-mer,0.7466117375211861
mid,3-mer,0.9852640482028064
mid,4-mer,0.9841595641913812
mid,5-mer,0.9787755667587027
high,3-mer,0.9982938102413736
high,4-mer,0.9962177497116602
high,5-mer,0.991694980779973
