condition,kmer,pcc
low,3-mer,0.9813956868191932
low,4-mer,0.9719626445228369
low,5-mer,0.9555179712946978
mid,3-mer,0.9961365893025993
mid,4-mer,0.9942197594022161
mid,5-mer,0.9900890588104321
high,3-mer,0.996030531932673
high,4-mer,0.9937627711436822
high,5-mer,0.9886582886840032
