bin_level,source,count,mean,std,min,median,max
low,Real,4312,0.4597290155731714,0.11626257137021798,0.1696969696969697,0.45454545454545453,0.7757575757575758
low,Generated,1000,0.4474848484848485,0.11813483490683642,0.18181818181818182,0.44242424242424244,0.793939393939394
mid,Real,4423,0.3503011119560973,0.09849936033769226,0.11515151515151516,0.3393939393939394,0.7696969696969697
mid,Generated,1000,0.33091515151515155,0.09733146771915081,0.06666666666666667,0.3212121212121212,0.7636363636363637
high,Real,4237,0.31306170031683367,0.08592731215191964,0.12121212121212122,0.30303030303030304,0.6909090909090909
high,Generated,1000,0.29624242424242425,0.08393696778277182,0.10303030303030303,0.28484848484848485,0.6484848484848484
