bin_level,source,count,mean,std,min,q25,median,q75,max
low,Real,990,-3.4377212749969694,1.1863285419562177,-5.994312925,-4.324461498,-3.284154334,-2.449992369,-1.578316469
low,Pred(Real),990,-3.1237454612899307,1.2196764784496272,-5.9001264572143555,-3.9842511415481567,-3.112446427345276,-2.222026526927948,1.8754483461380005
low,Pred(Generated),1000,-2.199975911510177,1.666091829805966,-5.002682685852051,-3.4966432452201843,-2.506385922431946,-1.2451205551624298,4.273215293884277
mid,Real,1025,0.053585777419512204,0.9681619011549419,-1.56546959,-0.76773267,0.059021276,0.871935723,1.719932629
mid,Pred(Real),1025,0.06966996285979205,1.2264434565757747,-4.192272186279297,-0.8192797303199768,-0.03228810057044029,0.9926323294639587,4.924827575683594
mid,Pred(Generated),1000,-0.3479818171458028,1.8305626535071744,-5.010897159576416,-1.708158403635025,-0.5327004492282867,0.9145706743001938,4.728194713592529
high,Real,985,3.541968582394923,1.2015184666517504,1.732210959,2.567929536,3.391309882,4.382897642,7.942325051
high,Pred(Real),985,3.6286646354622043,1.3122121675272815,-2.7639522552490234,2.662585735321045,3.5678701400756836,4.555710315704346,7.220160961151123
high,Pred(Generated),1000,1.6263128804098814,1.7685373701592046,-3.919807195663452,0.5744196027517319,1.925055980682373,2.9185221791267395,5.722847938537598
