bin_level,source,count,mean,std,min,q25,median,q75,max
low,Real-Exp,54333,2.896104205219223,1.5939339554491376,0.0,1.539692324,2.912581694,4.272716718,5.630115772
low,Real-Oracle,54333,4.323715963227604,0.9150125283561893,2.216141979726517,3.6233824823050913,4.033021891284515,4.78500524147161,13.271293559547363
low,Generated-Oracle,1000,4.351895782173186,1.6895309791055884,3.196419331373056,3.4865728378922176,3.71647820501401,4.36732817536754,14.716318171338411
mid,Real-Exp,54321,8.34694720998647,1.568236628430984,5.63027055,6.988508958,8.34651556,9.705014606,11.06338771
mid,Real-Oracle,54321,7.984930554376569,2.2628077623558775,2.6669457616261703,6.39458787386999,8.071355219353563,9.664380245210278,15.304403866151205
mid,Generated-Oracle,1000,7.3994724226990565,2.636203118368581,3.345850299419399,5.191616369738254,7.281869959827963,9.337326510212588,15.201578820768793
high,Real-Exp,54328,13.841620696681085,1.6472867509700437,11.06344433,12.42336423,13.789185255,15.22938173,17.0
high,Real-Oracle,54328,12.932882203364514,1.6216998661447983,3.297137079870504,12.189967071740815,13.230396487749992,14.00112487692575,16.47382875071526
high,Generated-Oracle,1000,12.949541043723515,1.449755730740477,4.690559428992974,12.39078810480206,13.234869618671535,13.854597303001999,15.415197990583298
