condition,kmer,pcc
low,3-mer,0.9390473194983486
low,4-mer,0.9301496757081739
low,5-mer,0.9080459127725402
mid,3-mer,0.9551652748222158
mid,4-mer,0.939708543540824
mid,5-mer,0.8970240850174125
high,3-mer,0.9572303177429017
high,4-mer,0.9494539105479318
high,5-mer,0.932410612375541
